day,hour,n_gti_seg,gti_s,span_s,met_start,met_stop,n_posatt_files
2022-10-21,20,1,315.0,315.0,120082154.000,120082469.000,5
2022-10-27,23,1,233.0,233.0,120614166.000,120614399.000,1
2022-10-28,00,1,735.0,735.0,120614300.000,120615035.000,1
2023-01-08,00,1,673.0,673.0,126837474.000,126838147.000,18
2023-01-08,01,1,2454.0,2454.0,126839945.000,126842399.000,18
2023-01-08,02,2,2011.0,3699.0,126842300.000,126845999.000,18
2023-01-08,03,1,3648.0,3648.0,126845951.000,126849599.000,18
2023-01-08,04,1,906.0,906.0,126849500.000,126850406.000,18
2023-01-17,14,1,861.0,861.0,127665938.000,127666799.000,18
2023-01-17,15,1,3589.0,3589.0,127666700.000,127670289.000,18
2023-01-17,16,1,2587.0,2587.0,127671412.000,127673999.000,18
2023-01-17,17,2,2231.0,3699.0,127673900.000,127677599.000,18
2023-01-17,18,1,247.0,247.0,127677563.000,127677810.000,18
2023-02-01,11,1,974.0,974.0,128949907.000,128950881.000,10
2023-02-01,13,1,904.0,904.0,128955769.000,128956673.000,10
2023-02-01,14,1,931.0,931.0,128961529.000,128962460.000,10
2023-02-01,16,1,739.0,739.0,128967540.000,128968279.000,10
2023-02-01,17,1,489.0,489.0,128973110.000,128973599.000,10
2023-02-01,18,1,563.0,563.0,128973500.000,128974063.000,10
2023-02-01,19,1,903.0,903.0,128978962.000,128979865.000,10
2023-02-01,21,1,931.0,931.0,128984741.000,128985672.000,10
2023-02-01,22,2,779.0,869.0,128990634.000,128991503.000,10
2023-02-01,23,-1,0.0,0.0,0.000,0.000,10
2023-02-02,00,1,1201.0,1201.0,128996054.000,128997255.000,7
2023-02-02,01,1,715.0,715.0,129001684.000,129002399.000,7
2023-02-02,02,1,723.0,723.0,129002300.000,129003023.000,7
2023-02-02,03,1,1183.0,1183.0,129007618.000,129008801.000,7
2023-02-02,05,1,1322.0,1322.0,129013289.000,129014611.000,7
2023-02-02,06,1,1142.0,1142.0,129019257.000,129020399.000,7
2023-02-02,07,1,131.0,131.0,129020300.000,129020431.000,7
2023-02-24,01,1,684.0,684.0,130900749.000,130901433.000,4
2023-02-24,02,1,3558.0,3558.0,130903241.000,130906799.000,4
2023-02-24,03,2,2002.0,3699.0,130906700.000,130910399.000,4
2023-02-24,04,1,2626.0,2626.0,130910300.000,130912926.000,4
2023-04-21,05,1,285.0,285.0,135755714.000,135755999.000,2
2023-04-21,06,1,196.0,196.0,135755900.000,135756096.000,2
2023-05-03,02,1,2244.0,2244.0,136779755.000,136781999.000,3
2023-05-03,03,1,3699.0,3699.0,136781900.000,136785599.000,3
2023-05-03,04,1,1519.0,1519.0,136785500.000,136787019.000,3
2023-05-10,01,1,1889.0,1889.0,137381310.000,137383199.000,4
2023-05-10,02,1,3699.0,3699.0,137383100.000,137386799.000,4
2023-05-10,03,1,3699.0,3699.0,137386700.000,137390399.000,4
2023-05-10,04,1,3225.0,3225.0,137390300.000,137393525.000,4
2023-05-31,23,1,1045.0,1045.0,139275754.000,139276799.000,1
2023-06-01,00,1,2988.0,2988.0,139276700.000,139279688.000,8
2023-06-01,01,1,2461.0,2461.0,139281538.000,139283999.000,8
2023-06-01,02,2,1838.0,3699.0,139283900.000,139287599.000,8
2023-06-01,03,1,3699.0,3699.0,139287500.000,139291199.000,8
2023-06-01,04,1,166.0,166.0,139291100.000,139291266.000,8
2023-06-01,06,1,3104.0,3104.0,139298895.000,139301999.000,8
2023-06-01,07,1,710.0,710.0,139301900.000,139302610.000,8
2023-06-01,09,1,1104.0,1104.0,139310461.000,139311565.000,8
2023-06-02,01,1,51.0,51.0,139370348.000,139370399.000,2
2023-06-02,02,1,2081.0,2081.0,139370348.000,139372429.000,2
2023-06-07,06,1,399.0,399.0,139817021.000,139817420.000,2
2023-06-07,23,1,138.0,138.0,139880687.000,139880825.000,2
2023-06-08,00,1,200.0,200.0,139882172.000,139882372.000,3
2023-06-08,11,1,1375.0,1375.0,139921383.000,139922758.000,3
2023-06-08,19,1,1732.0,1732.0,139950263.000,139951995.000,3
2023-06-16,11,1,547.0,547.0,140615452.000,140615999.000,3
2023-06-16,12,1,508.0,508.0,140615900.000,140616408.000,3
2023-06-16,16,1,1460.0,1460.0,140632150.000,140633610.000,3
2023-06-17,00,2,758.0,1497.0,140661190.000,140662687.000,6
2023-06-17,05,1,1192.0,1192.0,140678926.000,140680118.000,6
2023-06-17,10,1,1706.0,1706.0,140695856.000,140697562.000,6
2023-06-17,14,1,133.0,133.0,140713066.000,140713199.000,6
2023-06-17,15,1,1725.0,1725.0,140713100.000,140714825.000,6
2023-06-18,05,1,1943.0,1943.0,140765256.000,140767199.000,5
2023-06-18,06,1,210.0,210.0,140767100.000,140767310.000,5
2023-06-18,11,1,603.0,603.0,140788196.000,140788799.000,5
2023-06-18,12,1,1916.0,1916.0,140788700.000,140790616.000,5
2023-06-18,18,1,2105.0,2105.0,140811490.000,140813595.000,5
2023-06-19,13,1,1066.0,1066.0,140881333.000,140882399.000,3
