start,fa,count,n_core,bin_us,n_det_hit,det_frac_max,max_mult,multiplet_frac,f3,pi_med,pi_ge_368,n_acd,n_acd_multi,n_acd_bg,cpd_10us,cpd_100us,cpd_1ms,cpd_10ms,cpd_env,base_zero,base_len,gti_live_s,gti_nominal_s
2021-01-20T08:11:28.312923282Z,5.092e-89,66,66,70.967,23,0.091,2,0.061,0.000,219,0.152,5,3,2035,3,3,5,27,2039,0,25,2.000,2.000
2021-02-01T02:09:25.690650612Z,0.000e+00,252,252,712.007,25,0.067,2,0.048,0.000,236,0.171,14,12,924,14,14,15,22,938,0,25,2.001,2.001
2021-02-15T13:26:41.875683695Z,2.654e-188,130,130,116.803,25,0.085,2,0.077,0.000,307,0.262,17,12,2710,14,14,17,39,2724,0,25,2.000,2.000
2021-02-15T13:26:52.767762452Z,6.504e-151,110,110,114.769,25,0.073,2,0.018,0.000,199,0.109,11,5,2786,6,6,11,36,2793,0,25,2.000,2.000
2021-02-19T17:55:51.966498807Z,2.240e-73,21,21,0.134,21,0.048,9,0.952,0.762,228,0.143,1,0,731,0,0,1,9,732,0,25,2.000,2.000
2021-02-21T13:54:08.902364015Z,6.993e-44,55,55,246.391,21,0.127,2,0.036,0.000,188,0.109,3,0,1476,1,2,3,22,1478,0,25,2.000,2.000
2021-02-21T13:54:43.302832767Z,1.710e-74,99,99,583.246,25,0.101,2,0.040,0.000,186,0.141,2,2,1530,2,2,2,10,1531,0,25,2.001,2.001
2021-02-22T00:17:18.033616662Z,6.557e-69,82,82,350.669,24,0.085,2,0.024,0.000,168,0.134,4,0,2113,2,2,4,21,2115,0,25,2.000,2.000
2021-02-27T00:35:37.948439195Z,1.122e-31,34,34,66.295,20,0.118,2,0.118,0.000,202,0.235,1,0,1582,1,1,1,16,1581,0,25,2.000,2.000
2021-02-28T20:51:00.582420215Z,7.796e-94,66,66,100.896,23,0.091,2,0.030,0.000,192,0.152,3,2,705,3,3,3,10,706,0,25,2.000,2.000
2021-03-01T14:41:53.711178302Z,9.478e-32,11,11,0.104,11,0.091,5,0.909,0.727,243,0.364,0,0,1008,0,0,0,9,1008,0,25,2.000,2.000
2021-03-07T19:13:49.994602754Z,8.657e-224,154,154,181.928,24,0.078,2,0.039,0.000,199,0.188,11,9,1336,11,11,11,19,1343,0,25,2.000,2.000
2021-03-17T08:47:06.436518028Z,1.137e-46,50,50,164.956,18,0.120,2,0.040,0.000,173,0.020,0,0,1530,0,0,0,12,1530,0,25,2.000,2.000
2021-03-24T01:34:34.210373088Z,1.080e-44,36,36,34.094,21,0.083,3,0.139,0.083,180,0.194,3,0,2842,1,1,3,35,2841,0,25,2.000,2.000
2021-03-25T04:08:02.114817738Z,2.039e-50,46,46,116.229,21,0.130,1,0.000,0.000,185,0.087,1,0,1119,1,1,1,10,1119,0,25,2.000,2.000
2021-03-29T06:56:37.830953419Z,0.000e+00,172,172,122.711,23,0.064,2,0.023,0.000,306,0.285,17,15,1080,15,16,17,29,1097,0,25,2.000,2.000
2021-03-31T06:20:54.234348908Z,5.769e-127,107,107,223.413,24,0.075,2,0.056,0.000,239,0.131,6,0,1335,3,4,6,27,1340,0,25,2.000,2.000
