day,mjd,lon,lst,alt_km
2022-10-21,59873.71151389154,60.46,21.1068,602.2
2023-02-01,59976.48343523436,103.37,18.4936,598.5
2023-05-10,60074.06389335852,-107.071,18.3953,587.5
2023-06-21,60116.589690004235,109.136,21.4282,597.0
2023-06-28,60123.8774324416,-48.433,17.8295,603.3
2023-08-12,60168.00264937574,-59.964,20.0658,593.2
2023-10-04,60221.39400253135,-28.054,7.5856,603.2
2023-10-17,60234.158573212015,-40.449,1.109,587.4
2023-12-16,60294.05531787646,67.805,5.8479,598.4
2023-12-21,60299.60105917624,-169.732,3.1098,599.4
2023-12-26,60304.41167523402,-137.178,0.7348,594.3
2024-01-02,60311.69418332692,67.191,21.1397,584.5
2024-01-11,60320.11236018794,-145.71,16.9824,586.2
2024-01-20,60329.50176184573,-171.724,0.5939,585.9
2024-01-25,60334.008175109084,148.805,10.1164,598.8
2024-01-30,60339.152040055225,58.867,7.5733,593.3
2024-02-05,60345.565043096,-137.36,4.4035,584.3
2024-02-10,60350.04068187214,18.243,2.1923,582.2
2024-02-18,60358.390430763466,-169.536,22.0679,590.6
2024-02-25,60365.00309187291,-79.088,18.8017,598.2
2024-03-02,60371.78912516095,138.738,4.1881,583.7
2024-03-10,60379.43028961591,20.191,11.673,584.6
2024-03-19,60388.17977744296,45.483,7.3466,583.2
2024-03-25,60394.59132386583,-150.244,4.1754,591.6
2024-04-09,60409.083043907216,-74.737,21.0103,591.2
2024-04-14,60414.02478428569,-90.397,18.5683,584.3
2024-04-19,60419.10000690538,-155.099,16.0601,580.7
2024-04-25,60425.97801012111,-162.168,12.661,586.2
2024-05-25,60455.02261842341,-33.746,22.2931,580.1
2024-05-31,60461.0312354032,-81.441,19.32,586.1
2024-06-05,60466.03834510166,-121.15,16.8436,593.2
2024-06-10,60471.11212440655,174.653,14.3344,596.0
2024-07-27,60518.2403300505,138.694,15.0141,581.7
2024-09-04,60557.215310189014,-141.666,19.7229,577.7
2024-09-09,60562.55341244435,56.933,17.0772,580.4
2025-01-20,60695.695051153096,-73.008,11.8139,588.1
2025-02-12,60718.37995493122,40.23,11.8009,583.7
2025-02-17,60723.11114954979,101.737,9.45,577.1
2025-02-22,60728.10870289305,65.366,6.9663,571.6
2025-02-28,60734.68352619722,12.532,17.2399,589.0
2025-03-10,60744.14856386324,141.4,12.992,585.7
2025-03-23,60757.69032632254,-4.396,16.2747,576.2
2025-03-28,60762.087092315014,-179.984,14.091,571.0
2025-04-02,60767.14989610383,119.681,11.5763,570.4
2025-04-07,60772.14590783187,83.872,9.0931,575.4
2025-04-12,60777.14170945015,48.123,6.6091,581.9
2025-04-17,60782.61609140564,-138.777,5.5343,585.4
2025-04-22,60787.044834205044,-147.225,15.2609,572.5
2025-04-28,60793.03614036102,164.338,11.8231,575.9
2025-05-03,60798.005659886,-27.866,22.2781,569.5
2025-05-08,60803.050659243694,-112.323,17.7274,570.7
2025-05-13,60808.04566143084,-147.747,15.2461,576.6
2025-05-18,60813.04059451231,176.895,12.7672,582.7
2025-05-23,60818.10204167184,117.034,10.2511,583.8
2025-05-28,60823.16343007818,57.189,7.7349,579.3
2025-06-02,60828.024970169885,70.783,5.318,572.6
2025-06-07,60833.01962654958,35.456,2.8346,568.7
2025-06-12,60838.01422525375,0.152,0.3515,570.6
2025-06-17,60843.00875252334,-35.125,21.8683,576.9
2025-10-20,60968.02140413601,-65.696,20.1339,579.2
2025-10-28,60976.00966847839,-119.502,16.2651,583.0
2025-11-05,60984.02481253509,-13.092,23.7225,578.8
2025-11-15,60994.074813480336,-106.129,18.72,577.9
2025-11-22,61001.27693509975,155.233,16.9952,568.3
2025-12-10,61019.23094436874,9.703,6.1893,578.4
2025-12-15,61024.08870833186,24.634,3.7711,580.1
2025-12-20,61029.146009618256,-33.744,1.2546,576.3
2025-12-25,61034.00361095191,-18.733,22.8375,570.0
2026-01-01,61041.05692967572,-90.587,19.327,565.1
2026-01-11,61051.380814809934,96.108,15.5466,580.4
2026-01-16,61056.24324168352,118.804,13.758,579.8
2026-01-26,61066.2737994386,2.855,6.7614,571.9
2026-01-31,61071.26356915233,-30.766,4.2745,565.9
2026-02-12,61083.10547674658,-62.323,22.3765,571.1
2026-05-26,61186.003236528646,-74.826,19.0891,569.5
2026-06-03,61194.050360261834,-151.942,15.0792,577.3
2026-06-11,61202.109378803536,150.11,12.6323,570.4
2026-07-02,61223.55662838666,9.524,13.9938,577.4
2026-09-02,61285.020547534936,-101.632,17.7176,563.9
