day,mjd,lon,lst,alt_km
2020-12-30,59213.31357860809,37.104,9.9995,608.0
2021-01-09,59223.15529624056,21.472,5.1584,605.4
2021-01-22,59236.00984214617,-21.006,22.8357,592.0
2021-02-01,59246.05241887069,-110.403,17.8976,612.8
2021-02-11,59256.02795782809,-175.217,12.9897,608.2
2021-02-21,59266.13741564651,70.794,8.0174,593.5
2021-03-03,59276.04603119256,30.58,3.1434,597.1
2021-03-13,59286.02147308295,-34.203,22.2351,609.2
2021-03-23,59296.06386432737,-123.538,17.2966,600.5
2021-04-02,59306.03949266744,171.64,12.3904,592.4
2021-04-12,59316.015101174205,106.826,7.4839,605.3
2021-04-22,59326.191423352495,-31.769,2.476,600.7
2021-05-02,59336.23391412365,-121.129,21.5386,593.3
2021-05-12,59346.14248105134,-161.322,16.6646,597.8
2021-05-22,59356.050959497625,158.523,11.7909,609.9
2021-06-01,59366.02634499049,93.787,6.8847,600.2
2021-06-11,59376.336514089184,-93.944,1.8132,592.3
2021-06-21,59386.111044326295,-84.893,21.0054,605.5
2021-07-01,59396.28719044458,136.608,15.9997,607.1
2021-07-11,59406.062617082374,146.509,11.2701,593.6
2021-07-21,59416.10395449086,56.357,6.2519,597.9
2021-07-31,59426.413929332615,-131.306,1.1804,609.8
2021-08-10,59436.05438923768,-72.997,20.4388,599.6
2021-08-20,59446.09657954384,-162.29,15.4984,592.4
2021-08-30,59456.00482279748,157.636,10.6246,605.7
2021-09-09,59466.31587758008,-27.659,5.7369,599.3
2021-09-19,59476.021954419986,3.767,0.7778,592.8
2021-09-29,59486.1309312753,-110.054,19.8053,598.1
2021-10-09,59496.03894564813,-150.052,14.931,609.8
2021-10-19,59506.01383768413,145.386,10.0243,599.3
2021-10-29,59516.1864549897,1.024,4.543,608.8
2021-11-08,59526.101075527935,-20.081,1.0869,612.1
2021-11-18,59536.00515257858,-72.797,19.2705,606.5
2021-11-28,59546.314542376706,99.748,14.1988,592.4
2021-12-08,59556.1552885739,84.46,9.3574,598.4
2021-12-18,59566.062872969196,44.61,4.4829,609.5
2021-12-28,59576.10503062384,-43.512,23.6197,594.6
2022-01-07,59586.21255409867,-157.973,18.5696,592.4
2022-01-17,59596.05297965076,-173.143,13.7285,606.1
2022-01-27,59606.361837051576,-0.411,8.6565,605.5
2022-02-06,59616.001258711105,58.255,3.9137,592.1
2022-02-16,59626.107146081,-57.515,22.7371,611.9
2022-02-26,59636.01606048022,-94.792,18.0658,609.2
2022-03-08,59646.39141825696,53.503,12.9607,597.4
2022-03-18,59656.03036312456,112.343,8.2182,591.9
2022-03-28,59666.40542475567,-99.263,3.1124,606.1
2022-04-07,59676.24264442808,-115.455,22.1263,593.3
2022-04-17,59686.01692869006,-104.174,17.4612,591.5
2022-04-27,59696.056696775144,167.396,12.5203,598.2
2022-05-07,59706.56462483573,-93.03,7.3488,608.3
2022-05-17,59716.001499493024,40.023,2.7041,596.8
2022-05-27,59726.04052423899,-48.143,21.763,591.5
2022-06-06,59736.01241306644,-111.656,16.8541,605.4
2022-06-16,59746.05109859482,160.297,11.9126,604.1
2022-06-26,59756.02277026416,96.871,7.0044,590.7
2022-07-06,59766.06127007096,8.886,2.0627,597.9
2022-07-16,59776.03266914101,-54.444,21.1543,607.9
2022-07-26,59786.00394029499,-117.741,16.2451,596.1
2022-08-05,59796.04211280315,154.394,11.3035,591.4
2022-08-15,59806.01322822273,91.161,6.3946,605.2
2022-08-25,59816.05107897949,3.404,1.4528,603.2
2022-09-04,59826.02197527273,-59.748,20.544,590.2
2022-09-14,59836.05968042802,-147.459,15.6016,598.2
2022-09-24,59846.03021810312,149.514,10.6926,607.4
2022-10-04,59856.00058973559,86.541,5.7833,595.0
2022-10-14,59866.0376523348,-0.94,0.8409,591.0
2022-10-24,59876.00746122269,-63.707,19.9318,605.0
2022-11-03,59886.0439194797,-150.975,14.9889,602.4
2022-11-13,59896.01320937993,146.438,10.0795,589.3
2022-11-23,59906.049189438876,59.338,5.1361,597.7
2022-12-03,59916.01805231837,-3.105,0.226,606.5
2022-12-13,59926.05362625252,-90.052,19.2835,593.8
2022-12-23,59936.08897198468,-176.923,14.3404,590.8
2023-01-02,59946.057105692715,120.897,9.4301,604.5
2023-01-12,59956.02494655752,58.812,4.5194,600.9
2023-01-22,59966.19315307261,-76.885,23.5099,588.3
2023-02-01,59976.16020703246,-138.692,18.5986,597.7
2023-02-11,59986.394380275575,61.368,13.5562,605.1
