day,mjd,lon,lst,alt_km
2022-08-15,59806.03251669769,-33.99,22.5143,521.0
2022-08-20,59811.09753217896,-57.41,22.5132,522.6
2022-08-25,59816.03086815548,-33.423,22.5126,523.1
2022-08-30,59821.02990472018,-33.088,22.5116,522.7
2022-09-04,59826.02883957179,-32.719,22.5107,521.4
2022-09-10,59832.014193171846,-27.462,22.5098,518.5
2022-09-15,59837.01274143533,-26.952,22.5087,515.5
2022-09-20,59842.01109022808,-26.372,22.508,512.2
2022-09-25,59847.00926417927,-25.728,22.507,508.9
2022-09-30,59852.007257274905,-25.018,22.5063,505.8
2022-10-05,59857.005021462915,-24.228,22.5051,503.2
2022-10-10,59862.002530546495,-23.344,22.5043,501.2
2022-10-15,59866.99955081351,-22.283,22.5036,500.2
2022-10-20,59872.062111569576,-44.819,22.5026,500.3
2022-10-25,59877.058718403416,-43.609,22.5019,501.3
2022-10-30,59882.05512726603,-42.328,22.5009,503.1
2022-11-04,59887.051273104305,-40.953,22.5001,505.5
2022-11-09,59892.04712014299,-39.468,22.4996,508.2
2022-11-14,59897.04266250927,-37.875,22.4989,511.1
2022-11-19,59902.037981580055,-36.201,22.498,513.9
2022-11-24,59907.03311558373,-34.458,22.4975,516.2
2022-11-29,59912.02807036219,-32.653,22.4967,517.8
2022-12-04,59917.022816503995,-30.772,22.496,518.5
2022-12-09,59922.01732619916,-28.805,22.4952,518.2
2022-12-14,59927.01145172593,-26.7,22.4947,516.7
2022-12-19,59932.00519328771,-24.456,22.494,514.6
2022-12-24,59937.06418015165,-45.702,22.4935,511.7
2022-12-29,59942.05645953547,-42.928,22.4931,507.4
2023-01-03,59947.048526883205,-40.078,22.4926,504.2
2023-01-08,59952.04029039804,-37.119,22.4924,501.2
2023-01-13,59957.03184236353,-34.084,22.4919,498.6
2023-01-18,59962.02277631336,-30.827,22.4913,496.5
2023-01-23,59967.01327814173,-27.407,22.4915,495.1
2023-01-28,59972.00323013615,-23.797,22.4911,494.7
2023-02-02,59977.05868904758,-43.765,22.4907,495.5
2023-02-07,59982.04804486469,-39.937,22.4906,496.8
2023-02-12,59987.03701873143,-35.971,22.4903,498.5
2023-02-18,59993.79745052565,50.27,22.49,501.4
2023-02-23,59998.0632837911,-45.43,22.4899,503.7
2023-02-28,60003.05063806388,-40.878,22.4901,506.0
2023-03-05,60008.03745056905,-36.131,22.4899,507.7
2023-03-10,60013.02383339055,-31.231,22.4899,509.0
2023-03-15,60018.00907472331,-25.914,22.4902,508.9
2023-03-20,60023.059642411536,-44.118,22.4902,508.8
2023-03-25,60028.0438568408,-38.431,22.4905,507.2
2023-03-30,60033.02768796379,-32.606,22.4907,505.6
2023-04-04,60038.01068119103,-26.478,22.4909,502.3
2023-04-09,60043.0588100152,-43.8,22.4914,499.4
2023-04-14,60048.0410176294,-37.39,22.4915,496.4
2023-04-19,60053.022540826794,-30.731,22.4921,493.1
2023-04-24,60058.00353995593,-23.88,22.4927,490.4
2023-04-29,60063.04939961184,-40.381,22.4935,488.0
2023-05-04,60068.02941170032,-33.176,22.4941,486.6
2023-05-09,60073.00901199056,-25.821,22.4947,486.0
2023-05-14,60078.05365310426,-41.881,22.4955,486.2
2023-05-19,60083.03236150885,-34.204,22.4964,487.2
2023-05-24,60088.010705188775,-26.394,22.4971,488.8
2023-05-29,60093.05428682724,-42.068,22.4982,491.1
2023-06-03,60098.031852096305,-33.98,22.4991,493.3
2023-06-08,60103.00927660741,-25.835,22.5001,495.8
2023-06-13,60108.05161738856,-41.064,22.501,497.6
2023-06-28,60123.04557893984,-38.839,22.5046,499.6
2023-07-03,60128.02105142802,-29.988,22.5058,499.0
2023-07-08,60133.061364265595,-44.483,22.5069,497.4
2023-07-13,60138.036008708754,-35.335,22.5085,495.1
2023-07-18,60143.010253873435,-26.043,22.5096,492.3
2023-07-23,60148.04949910373,-40.149,22.5112,489.4
2023-07-28,60153.02286548847,-30.539,22.5127,486.4
2023-08-02,60158.06122475626,-44.326,22.5141,483.8
2023-08-07,60163.033688831514,-34.388,22.5158,481.5
2023-08-12,60168.00569944876,-24.288,22.5174,479.9
2023-08-17,60173.04270545305,-37.585,22.519,479.1
2023-08-22,60178.01386326761,-27.176,22.5208,479.0
2023-08-27,60183.050007306876,-40.162,22.5225,479.8
2023-09-01,60188.02053819731,-29.524,22.5245,481.3
2023-09-06,60193.05564395039,-42.137,22.5261,483.0
2023-09-11,60198.02528226241,-31.177,22.5282,485.2
2023-09-16,60203.059525842466,-43.478,22.5301,487.0
2023-09-21,60208.02816444426,-32.157,22.532,488.9
2023-09-26,60213.06120881551,-44.025,22.5339,490.0
2023-10-01,60218.02840088626,-32.182,22.5359,490.5
2023-10-06,60223.06058627044,-43.736,22.5382,491.0
2023-10-11,60228.02593999058,-31.23,22.5405,489.2
2023-10-16,60233.05613956862,-42.066,22.5428,487.6
2023-10-21,60238.0202993995,-29.127,22.5451,485.2
2023-10-26,60243.04909352849,-39.456,22.5477,482.7
2023-10-31,60248.01194865452,-26.044,22.5504,479.6
2023-11-05,60253.03939145031,-35.884,22.553,476.6
2023-11-10,60258.00092850385,-21.999,22.5557,474.3
2023-11-15,60263.02640272261,-31.121,22.5589,471.2
2023-11-20,60268.051645564396,-40.165,22.5618,469.6
2023-11-25,60273.011094989335,-25.521,22.5647,468.3
2023-11-30,60278.03494336494,-34.059,22.568,467.7
2023-12-05,60283.05794650639,-42.292,22.5711,467.9
2023-12-10,60288.01510571244,-26.818,22.5746,468.8
2023-12-15,60293.03708467101,-34.68,22.578,470.4
2023-12-20,60298.058530696915,-42.349,22.5814,472.1
2023-12-25,60303.01403233251,-26.276,22.5849,473.5
2023-12-30,60308.033994664715,-33.408,22.5886,475.0
2024-01-04,60313.05336801116,-40.328,22.592,476.4
2024-01-09,60318.007020478944,-23.586,22.5959,477.0
2024-01-14,60323.0252198614,-30.081,22.5996,476.9
2024-01-19,60328.04281526326,-36.36,22.6035,476.7
2024-01-24,60333.059130445545,-42.169,22.6076,474.5
2024-01-29,60338.009754314684,-24.333,22.6117,472.4
2024-02-03,60343.0248293962,-29.698,22.616,470.0
2024-02-08,60348.03924306693,-34.823,22.6202,467.2
2024-02-13,60353.052815276045,-39.644,22.6245,464.3
2024-02-18,60358.00037025462,-20.698,22.6287,461.5
2024-02-23,60363.01233554271,-24.94,22.6332,459.7
2024-02-28,60368.0232978568,-28.816,22.6378,457.4
2024-03-04,60373.03371483444,-32.496,22.6425,456.3
