id,name,box,start_met,stop_met,gap_s,n_lost,t_since_trig
29,HEB171011045,A,182307941.024372,182307941.052164,0.027792,440,2.024372
35,HEB171120555,B,185808044.464784,185808044.480054,0.015270,514,39.464784
37,HEB171205306,C,187082405.799182,187082405.814598,0.015416,326,-40.200818
49,HEB180113011,B,190426564.467516,190426564.494772,0.027256,516,1.467516
49,HEB180113011,B,190426564.565012,190426564.593958,0.028946,473,1.565012
49,HEB180113011,B,190426564.699664,190426564.723838,0.024174,391,1.699664
49,HEB180113011,B,190426564.804478,190426564.830694,0.026216,465,1.804478
49,HEB180113011,B,190426564.916490,190426564.944736,0.028246,452,1.916490
49,HEB180113011,B,190426566.736168,190426566.762768,0.026600,430,3.736168
49,HEB180113011,B,190426566.799228,190426566.823070,0.023842,435,3.799228
49,HEB180113011,B,190426566.917970,190426566.945288,0.027318,382,3.917970
49,HEB180113011,B,190426567.061760,190426567.093120,0.031360,471,4.061760
49,HEB180113011,B,190426567.144412,190426567.169746,0.025334,396,4.144412
49,HEB180113011,B,190426567.198942,190426567.221274,0.022332,443,4.198942
49,HEB180113011,B,190426573.683600,190426573.699070,0.015470,675,10.683600
50,HEB180113418,B,190461738.310982,190461738.337824,0.026842,455,7.810982
50,HEB180113418,B,190461738.433122,190461738.460868,0.027746,451,7.933122
50,HEB180113418,B,190461738.527454,190461738.553150,0.025696,425,8.027454
50,HEB180113418,B,190461738.732354,190461738.762198,0.029844,476,8.232354
50,HEB180113418,B,190461738.851194,190461738.878452,0.027258,411,8.351194
50,HEB180113418,B,190461738.925368,190461738.950940,0.025572,442,8.425368
50,HEB180113418,B,190461739.031216,190461739.058044,0.026828,351,8.531216
55,HEB180208764,A,192738055.902592,192738055.917798,0.015206,455,2.602592
55,HEB180208764,B,192738052.899868,192738052.920268,0.020400,804,-0.400132
56,HEB180210517,B,192889490.154238,192889490.174624,0.020386,766,3.154238
56,HEB180210517,C,192889495.680370,192889495.696740,0.016370,940,8.680370
56,HEB180210517,C,192889495.698638,192889495.709114,0.010476,473,8.698638
56,HEB180210517,C,192889495.714620,192889495.729958,0.015338,359,8.714620
57,HEB180210728,B,192907757.832210,192907757.847538,0.015328,779,8.832210
57,HEB180210728,B,192907757.852382,192907757.868102,0.015720,178,8.852382
57,HEB180210728,C,192907757.802250,192907757.824518,0.022268,1173,8.802250
57,HEB180210728,C,192907757.828464,192907757.843758,0.015294,526,8.828464
57,HEB180210728,C,192907757.846930,192907757.856638,0.009708,468,8.846930
57,HEB180210728,C,192907757.861174,192907757.876426,0.015252,329,8.861174
58,HEB180218634,A,193590852.742370,193590852.768820,0.026450,518,4.252370
58,HEB180218634,A,193590852.846632,193590852.874088,0.027456,493,4.356632
58,HEB180218634,A,193590852.926098,193590852.951896,0.025798,527,4.436098
58,HEB180218634,A,193590852.978644,193590853.001762,0.023118,481,4.488644
58,HEB180218634,A,193590853.027848,193590853.051578,0.023730,541,4.537848
58,HEB180218634,A,193590853.070778,193590853.092750,0.021972,544,4.580778
58,HEB180218634,A,193590853.138086,193590853.164460,0.026374,440,4.648086
58,HEB180218634,A,193590853.522694,193590853.547496,0.024802,383,5.032694
58,HEB180218634,A,193590853.667642,193590853.694358,0.026716,499,5.177642
58,HEB180218634,A,193590853.721554,193590853.745538,0.023984,552,5.231554
58,HEB180218634,A,193590854.002290,193590854.032036,0.029746,619,5.512290
58,HEB180218634,A,193590854.919626,193590854.947482,0.027856,593,6.429626
58,HEB180218634,A,193590855.031866,193590855.059834,0.027968,561,6.541866
58,HEB180218634,C,193590852.852560,193590852.884022,0.031462,517,4.362560
58,HEB180218634,C,193590852.966290,193590852.993772,0.027482,516,4.476290
58,HEB180218634,C,193590853.027116,193590853.052406,0.025290,511,4.537116
58,HEB180218634,C,193590853.084574,193590853.110324,0.025750,476,4.594574
58,HEB180218634,C,193590853.521884,193590853.545982,0.024098,408,5.031884
58,HEB180218634,C,193590853.708038,193590853.733540,0.025502,393,5.218038
58,HEB180218634,C,193590854.935226,193590854.958690,0.023464,381,6.445226
58,HEB180218634,C,193590855.061962,193590855.089518,0.027556,329,6.571962
59,HEB180219482,B,193664090.602676,193664090.618358,0.015682,404,8.602676
60,HEB180221520,A,193840252.819616,193840252.840284,0.020668,939,48.819616
72,HEB180405168,B,197524981.713222,197524981.729960,0.016738,57,5.653222
74,HEB180411359,C,198059852.006668,198059852.025608,0.018940,350,-0.753332
74,HEB180411359,C,198059859.635394,198059859.651900,0.016506,781,6.875394
74,HEB180411359,C,198059859.654204,198059859.664344,0.010140,558,6.894204
74,HEB180411359,C,198059859.666326,198059859.676682,0.010356,454,6.906326
75,HEB180413117,C,198211802.567796,198211802.597854,0.030058,957,16.337796
77,HEB180427442,B,199449426.334142,199449426.351096,0.016954,170,0.334142
91,HEB180704233,C,205306602.411842,205306602.428108,0.016266,401,-3.588158
94,HEB180718762,A,206561919.864658,206561919.882146,0.017488,223,12.864658
95,HEB180720598,B,206720519.137796,206720519.161480,0.023684,373,16.487796
95,HEB180720598,B,206720519.197134,206720519.221998,0.024864,437,16.547134
95,HEB180720598,B,206720519.280936,206720519.312242,0.031306,434,16.630936
95,HEB180720598,C,206720519.137994,206720519.163864,0.025870,435,16.487994
95,HEB180720598,C,206720519.206070,206720519.230964,0.024894,500,16.556070
101,HEB180804554,A,208012693.513846,208012693.529810,0.015964,308,22.513846
101,HEB180804554,B,208012709.980546,208012710.008496,0.027950,770,38.980546
101,HEB180804554,B,208012710.855398,208012710.872748,0.017350,861,39.855398
106,HEB180914765,A,211573385.122878,211573385.151282,0.028404,454,14.122878
106,HEB180914765,A,211573385.187154,211573385.210150,0.022996,467,14.187154
106,HEB180914765,A,211573385.242614,211573385.267026,0.024412,476,14.242614
106,HEB180914765,A,211573385.288116,211573385.308598,0.020482,524,14.288116
106,HEB180914765,A,211573385.321316,211573385.340932,0.019616,525,14.321316
106,HEB180914765,A,211573385.353896,211573385.372464,0.018568,449,14.353896
106,HEB180914765,A,211573385.384986,211573385.404462,0.019476,549,14.384986
106,HEB180914765,A,211573385.417628,211573385.436792,0.019164,574,14.417628
106,HEB180914765,A,211573385.448250,211573385.467140,0.018890,522,14.448250
106,HEB180914765,A,211573385.479698,211573385.498530,0.018832,508,14.479698
106,HEB180914765,A,211573385.510880,211573385.529918,0.019038,540,14.510880
106,HEB180914765,A,211573385.541884,211573385.560504,0.018620,549,14.541884
106,HEB180914765,A,211573385.572210,211573385.591526,0.019316,590,14.572210
106,HEB180914765,A,211573385.604122,211573385.622958,0.018836,550,14.604122
106,HEB180914765,A,211573385.634388,211573385.653850,0.019462,554,14.634388
106,HEB180914765,A,211573385.665560,211573385.685048,0.019488,537,14.665560
106,HEB180914765,A,211573385.697112,211573385.715960,0.018848,591,14.697112
106,HEB180914765,A,211573385.722956,211573385.738766,0.015810,475,14.722956
106,HEB180914765,A,211573385.746210,211573385.762040,0.015830,428,14.746210
106,HEB180914765,A,211573385.774440,211573385.793612,0.019172,502,14.774440
106,HEB180914765,A,211573385.812356,211573385.833828,0.021472,540,14.812356
106,HEB180914765,A,211573385.850078,211573385.872616,0.022538,503,14.850078
106,HEB180914765,A,211573385.892310,211573385.913648,0.021338,492,14.892310
106,HEB180914765,A,211573385.928716,211573385.950210,0.021494,527,14.928716
106,HEB180914765,A,211573385.963780,211573385.982630,0.018850,462,14.963780
106,HEB180914765,A,211573385.995642,211573386.014786,0.019144,466,14.995642
106,HEB180914765,A,211573386.028402,211573386.046904,0.018502,427,15.028402
