id,name,trig_utc,src_start,src_stop,met_start,met_stop,win_s,saturation,sat_boxes,n_fifo_reset,dead_time_s,n_events_lost,peak_rate_evt_s,max_fifo_backlog,judged_on,note
0,HEB170626040,2017-06-26T00:57:55.80,0.0,10.0,173062678.800000,173062688.800000,10.000,clean,,0,0.000000,0,8882,0,1B,
1,HEB170626400,2017-06-26T09:37:22.32,-3.0,15.0,173093842.320000,173093860.320000,18.000,clean,,0,0.000000,0,37586,64,1B,
2,HEB170705115,2017-07-05T02:45:59.00,-2.0,5.0,173846760.000000,173846767.000000,7.000,clean,,0,0.000000,0,8554,0,1B,
3,HEB170708045,2017-07-08T01:06:11.25,-0.1,0.2,174099974.150000,174099974.450000,0.300,clean,,0,0.000000,0,7443,0,1B,
4,HEB170712139,2017-07-12T03:20:30.00,-8.0,5.0,174453625.000000,174453638.000000,13.000,clean,,0,0.000000,0,4434,0,1B,
5,HEB170714049,2017-07-14T01:10:51.10,-0.1,0.2,174618654.000000,174618654.300000,0.300,clean,,0,0.000000,0,4669,0,1B,
6,HEB170718152,2017-07-18T03:39:30.00,-12.0,6.0,174973161.000000,174973179.000000,18.000,clean,,0,0.000000,0,39493,66,1B,
7,HEB170726248,2017-07-26T05:58:15.42,-0.2,0.8,175672698.220000,175672699.220000,1.000,clean,,0,0.000000,0,4472,0,1B,
8,HEB170726793,2017-07-26T19:02:59.51,-8.0,20.0,175719774.510000,175719802.510000,28.000,clean,,0,0.000000,0,40551,78,1B,
9,HEB170728960,2017-07-28T23:03:19.00,-1.0,15.0,175907001.000000,175907017.000000,16.000,clean,,0,0.000000,0,13325,0,1B,
10,HEB170801208,2017-08-01T04:59:55.25,-0.05,0.1,176187598.200000,176187598.350000,0.150,clean,,0,0.000000,0,10716,0,1B,
11,HEB170802637,2017-08-02T15:18:26.00,0.0,1.0,176311109.000000,176311110.000000,1.000,clean,,0,0.000000,0,49726,192,1B,
12,HEB170803917,2017-08-03T22:00:31.00,0.6,1.2,176421634.600000,176421635.200000,0.600,clean,,0,0.000000,0,10074,0,1B,
13,HEB170805596,2017-08-05T14:18:49.50,0.0,0.3,176566732.500000,176566732.800000,0.300,clean,,0,0.000000,0,8160,0,1B,
14,HEB170805610,2017-08-05T14:38:34.00,0.2,1.2,176567917.200000,176567918.200000,1.000,clean,,0,0.000000,0,5776,0,1B,
15,HEB170817908,2017-08-17T21:47:34.00,0.0,4.0,177630457.000000,177630461.000000,4.000,clean,,0,0.000000,0,12719,0,1B,
16,HEB170825306,2017-08-25T07:22:03.00,-3.0,8.0,178269723.000000,178269734.000000,11.000,clean,,0,0.000000,0,9310,0,1B,
17,HEB170826818,2017-08-26T19:38:58.00,-2.0,10.0,178400339.000000,178400351.000000,12.000,clean,,0,0.000000,0,44022,160,1B,
18,HEB170829270,2017-08-29T06:29:39.90,-0.5,5.0,178612182.400000,178612187.900000,5.500,clean,,0,0.000000,0,35785,145,1B,
19,HEB170901499,2017-09-01T11:59:56.50,-4.0,13.0,178891195.500000,178891212.500000,17.000,clean,,0,0.000000,0,39752,87,1B,
20,HEB170903534,2017-09-03T12:49:11.00,-0.5,13.0,179066953.500000,179066967.000000,13.500,clean,,0,0.000000,0,38873,76,1B,
21,HEB170904406,2017-09-04T09:46:00.62,-4.0,15.0,179142359.620000,179142378.620000,19.000,clean,,0,0.000000,0,37847,82,1B,
22,HEB170906029,2017-09-06T00:43:06.00,-1.0,43.0,179282588.000000,179282632.000000,44.000,clean,,0,0.000000,0,5206,0,1B,
23,HEB170912984,2017-09-12T23:38:12.60,-0.1,0.2,179883495.500000,179883495.800000,0.300,clean,,0,0.000000,0,7184,0,1B,
24,HEB170921030,2017-09-21T00:43:37.00,-0.5,1.8,180578619.500000,180578621.800000,2.300,clean,,0,0.000000,0,6240,0,1B,
25,HEB170923188,2017-09-23T04:31:05.44,-1.5,35.0,180765066.940000,180765103.440000,36.500,clean,,0,0.000000,0,31485,55,1B,
26,HEB170926340,2017-09-26T08:10:39.80,-0.2,4.0,181037442.600000,181037446.800000,4.200,clean,,0,0.000000,0,9041,0,1B,
27,HEB171007498,2017-10-07T11:57:38.27,-0.1,1.8,182001461.170000,182001463.070000,1.900,clean,,0,0.000000,0,4132,0,1B,
28,HEB171008079,2017-10-08T01:54:38.50,-0.1,0.7,182051681.400000,182051682.200000,0.800,clean,,0,0.000000,0,5928,0,1B,
29,HEB171011045,2017-10-11T01:05:36.00,-0.5,10.0,182307938.500000,182307949.000000,10.500,saturated,A,1,0.027792,440,24190,82,1B,
30,HEB171013350,2017-10-13T08:24:42.11,-2.0,20.0,182507083.110000,182507105.110000,22.000,clean,,0,0.000000,0,10431,0,1B,
31,HEB171030728,2017-10-30T17:29:45.00,0.0,0.2,184008588.000000,184008588.200000,0.200,clean,,0,0.000000,0,10739,0,1B,
32,HEB171102106,2017-11-02T02:33:35.99,30.0,56.0,184214048.990000,184214074.990000,26.000,clean,,0,0.000000,0,11084,0,1B,
33,HEB171103965,2017-11-03T23:10:30.04,1.8,2.4,184374634.840000,184374635.440000,0.600,clean,,0,0.000000,0,18191,18,1B,
34,HEB171115217,2017-11-15T05:13:14.70,-0.2,2.5,185346797.500000,185346800.200000,2.700,clean,,0,0.000000,0,5456,0,1B,
35,HEB171120555,2017-11-20T13:20:02.00,-1.0,42.0,185808004.000000,185808047.000000,43.000,saturated,B,1,0.015270,514,41859,132,1B,
36,HEB171124234,2017-11-24T05:38:03.00,-8.0,3.0,186125878.000000,186125889.000000,11.000,clean,,0,0.000000,0,42281,69,1B,
37,HEB171205306,2017-12-05T07:20:43.00,-45.0,-10.0,187082401.000000,187082436.000000,35.000,saturated,C,1,0.015416,326,35528,61,1B,
38,HEB171207054,2017-12-07T01:18:42.45,-0.2,0.3,187233525.250000,187233525.750000,0.500,clean,,0,0.000000,0,7985,0,1B,
39,HEB171209615,2017-12-09T14:46:16.22,-2.0,90.0,187454777.220000,187454869.220000,92.000,clean,,0,0.000000,0,52304,141,1B,
40,HEB171210492,2017-12-10T11:49:16.00,-5.0,25.0,187530554.000000,187530584.000000,30.000,clean,,0,0.000000,0,48444,104,1B,
41,HEB171215705,2017-12-15T16:55:26.57,-5.0,24.0,187980924.570000,187980953.570000,29.000,clean,,0,0.000000,0,38032,64,1B,
42,HEB171223818,2017-12-23T19:38:15.00,-0.1,0.3,188681897.900000,188681898.300000,0.400,clean,,0,0.000000,0,19804,38,1B,
43,HEB171230955,2017-12-30T22:55:34.00,-0.5,16.0,189298536.500000,189298553.000000,16.500,clean,,0,0.000000,0,13517,0,1B,
44,HEB180103047,2018-01-03T01:08:40.00,-5.0,162.0,189565718.000000,189565885.000000,167.000,clean,,0,0.000000,0,46741,200,1B,
45,HEB180103949,2018-01-03T22:47:12.00,0.8,1.4,189643635.800000,189643636.400000,0.600,clean,,0,0.000000,0,6788,0,1B,
46,HEB180110608,2018-01-10T14:35:59.22,-1.0,1.0,190218961.220000,190218963.220000,2.000,clean,,0,0.000000,0,5907,0,1B,
47,HEB180111695,2018-01-11T16:42:06.38,-1.0,30.0,190312928.380000,190312959.380000,31.000,clean,,0,0.000000,0,5273,0,1B,
48,HEB180112687,2018-01-12T16:30:38.00,-10.0,185.0,190398631.000000,190398826.000000,195.000,clean,,0,0.000000,0,5337,0,1B,
49,HEB180113011,2018-01-13T00:16:00.00,-2.0,18.0,190426561.000000,190426581.000000,20.000,saturated,B,12,0.307094,5529,43235,227,1B,
50,HEB180113418,2018-01-13T10:02:07.50,-5.0,45.0,190461725.500000,190461775.500000,50.000,saturated,B,7,0.189786,3011,29636,84,1B,
51,HEB180119836,2018-01-19T20:04:49.78,1.0,7.0,191016293.780000,191016299.780000,6.000,clean,,0,0.000000,0,5150,0,1B,
52,HEB180127049,2018-01-27T01:11:12.91,0.0,8.0,191639475.910000,191639483.910000,8.000,clean,,0,0.000000,0,5800,0,1B,
53,HEB180130744,2018-01-30T17:51:26.79,-0.3,0.1,191958689.490000,191958689.890000,0.400,clean,,0,0.000000,0,6477,0,1B,
