group,latitude,longitude
sig,20.3635,109.4057
sig,20.7346,267.5462
sig,-8.5502,156.4313
sig,-0.5372,18.6475
sig,-1.5948,110.6136
sig,14.0566,265.9600
assoc,11.2515,268.9121
assoc,10.5711,265.5070
sig,18.2691,127.5868
assoc,16.6377,282.5600
assoc,11.6608,273.0955
sig,3.7325,17.2572
assoc,10.0457,273.8959
assoc,23.8139,117.2635
assoc,25.5146,285.3965
sig,2.9871,187.5116
sig,11.4318,123.1144
sig,11.4324,123.1151
sig,11.4329,123.1156
sig,11.4331,123.1158
sig,11.4337,123.1165
sig,11.4341,123.1168
sig,11.4343,123.1170
sig,9.4672,266.2740
sig,7.6077,268.1427
assoc,24.5364,127.6041
assoc,-4.8603,147.4146
assoc,7.0603,143.2129
assoc,20.5370,282.6503
sig,-8.7264,199.9813
assoc,16.2952,262.7962
sig,9.7159,23.9062
assoc,13.7633,168.4623
assoc,14.3434,119.2939
sig,19.7683,269.4086
assoc,22.4807,272.7648
assoc,14.7127,280.6003
sig,8.3735,297.4197
sig,6.6381,271.4158
sig,17.8309,109.1937
sig,-4.1544,141.4689
sig,21.4575,90.5657
sig,-12.0507,68.3648
assoc,19.6921,128.9560
sig,18.4853,106.1050
sig,-2.9584,26.7917
assoc,-6.0498,70.1589
assoc,10.5956,268.1773
sig,8.8781,281.8918
sig,24.2553,266.2167
sig,24.3137,262.1949
assoc,15.9393,266.2652
sig,-4.2597,68.0673
sig,22.2727,303.2205
assoc,10.4514,278.3502
sig,10.5205,278.4209
assoc,13.0345,277.2774
sig,7.2838,303.3294
sig,12.2016,274.0536
sig,9.5527,276.7796
sig,11.4090,270.7791
sig,20.4343,90.8233
assoc,2.9505,299.3841
assoc,17.0679,276.6530
sig,10.2332,83.6210
sig,-0.6854,68.0475
sig,7.5241,298.6719
sig,7.5230,298.6730
assoc,7.8809,121.5931
sig,1.3919,106.3921
sig,5.7804,29.2907
sig,3.6953,31.3317
sig,11.6024,282.9930
sig,17.2208,276.1666
sig,11.1997,278.4776
assoc,15.9333,259.2532
sig,20.5048,264.5497
assoc,21.5163,283.0488
assoc,21.4221,161.8006
sig,15.1580,270.3820
sig,18.3203,273.9374
sig,22.0416,254.1639
assoc,16.1680,263.2991
assoc,0.5960,284.6554
assoc,13.8557,267.2733
assoc,16.9695,292.2610
assoc,20.7117,275.5472
sig,7.3022,290.0894
sig,22.9795,129.6016
sig,14.3052,260.9538
sig,-9.0884,140.5951
assoc,16.6807,276.1669
sig,19.8593,263.1525
assoc,15.9601,278.8442
sig,22.4624,309.6141
assoc,7.1073,277.9973
assoc,3.2903,281.7445
assoc,19.1639,157.0451
assoc,8.5972,97.1104
assoc,25.9233,272.4818
sig,-3.8961,57.9680
sig,23.6283,97.5339
sig,-0.4513,290.3222
sig,-9.5256,135.7600
sig,-4.7669,140.4916
sig,-1.9713,143.2133
assoc,12.7598,276.0316
assoc,0.3965,96.9614
sig,25.3504,91.0968
sig,3.1982,115.7229
sig,16.5485,340.6450
assoc,12.1662,272.5606
assoc,15.9419,274.4327
sig,0.6463,137.5606
assoc,19.4105,84.2258
sig,16.2790,162.8499
assoc,11.1586,168.3273
sig,21.8449,103.2879
assoc,6.9248,285.7828
sig,-2.7814,125.3242
sig,-2.3570,288.1899
sig,0.3543,96.6353
sig,15.4866,102.9013
assoc,21.2184,286.3246
sig,4.3595,286.5205
sig,7.5539,289.6696
assoc,14.0563,272.0943
sig,11.4938,268.8813
assoc,5.9161,294.6834
assoc,8.4432,97.9892
sig,18.2489,268.5771
assoc,19.9693,246.0757
sig,6.9150,289.3437
assoc,20.5484,246.2528
sig,21.3493,288.1373
sig,-4.6068,115.5731
sig,9.3325,266.6720
sig,14.4431,313.7889
assoc,8.1226,301.7478
assoc,21.4627,99.2493
sig,24.6861,256.7794
sig,24.0757,83.6166
sig,11.0784,288.4101
sig,18.1065,281.1094
assoc,7.2951,292.5666
assoc,19.9380,104.0222
assoc,4.1528,277.4063
sig,10.4952,22.3393
sig,14.0319,281.5521
assoc,12.7852,351.6075
assoc,16.2959,67.3731
assoc,-4.0572,101.2802
assoc,0.0687,287.3727
sig,24.8519,90.5018
sig,-4.6289,142.2180
sig,13.1996,39.5188
sig,2.7258,284.5829
assoc,-5.1332,122.3076
sig,-3.2990,160.6233
sig,-3.0352,136.6086
assoc,4.0127,303.5222
sig,21.5032,113.6626
sig,-3.0212,140.4394
assoc,-4.3609,141.7446
sig,7.8618,288.7901
sig,8.8661,289.7976
sig,11.3956,340.6033
sig,16.2076,117.0079
assoc,-4.9117,113.9328
assoc,15.1071,170.8814
assoc,-0.1579,106.9678
sig,14.2318,121.3906
sig,16.1238,265.0070
assoc,6.5877,288.7607
assoc,15.6224,118.8256
assoc,25.2107,272.1234
sig,23.9699,149.0741
sig,13.3134,277.8196
assoc,21.8932,122.1074
sig,22.9033,72.4995
assoc,18.3160,283.6102
sig,24.1465,163.8696
assoc,-0.7856,284.2200
sig,14.4222,271.1052
sig,14.8062,271.5211
assoc,5.0375,104.0777
assoc,6.2271,282.8915
sig,16.9401,148.4483
sig,20.7809,152.9572
sig,20.9208,127.4387
sig,-5.7530,141.7153
sig,-6.1715,112.9554
assoc,19.3422,72.6474
sig,18.8421,73.2366
sig,10.2487,290.8157
assoc,10.5998,121.2757
assoc,12.1751,240.1846
sig,11.7875,280.1776
assoc,6.9156,284.0018
assoc,0.8816,289.5436
sig,10.9611,101.2768
sig,11.5860,263.6715
assoc,19.0325,263.7110
sig,12.2292,276.3969
sig,-2.5932,26.1046
assoc,4.0739,128.7883
sig,10.0255,288.6994
sig,12.4424,112.2313
assoc,9.6809,297.8943
sig,-3.5229,17.9756
sig,-1.9123,19.5400
assoc,13.5580,151.4536
sig,7.1183,291.2529
sig,-3.1073,131.6004
assoc,2.9526,299.6303
assoc,7.5752,266.7497
assoc,-3.5142,30.0520
sig,-4.0641,11.1099
sig,13.5236,329.3840
sig,7.2438,287.2819
sig,0.9982,123.3759
sig,-3.5860,99.5941
sig,-2.8161,143.3205
sig,7.0265,109.4627
sig,-8.1682,100.0440
sig,7.4008,80.7499
sig,13.8425,288.5019
assoc,12.9179,289.4846
assoc,-0.5410,278.6090
assoc,8.6455,99.7110
assoc,3.4197,104.8700
assoc,-17.1318,170.1300
sig,-6.4935,134.7207
sig,-3.3964,147.8227
assoc,14.8879,104.8661
sig,-3.4666,139.7606
sig,7.7128,343.2311
assoc,-12.7187,193.5352
assoc,2.4450,105.6942
assoc,12.7805,288.6475
sig,18.9157,181.5570
sig,4.6069,9.3553
assoc,2.8966,24.3088
assoc,-15.6593,135.9643
assoc,-6.6894,21.4481
sig,-6.9879,123.3717
assoc,6.0685,97.9753
sig,-11.8098,111.5297
assoc,6.9847,343.2546
sig,5.5267,82.2591
sig,-0.8575,15.6510
assoc,2.4726,129.7226
assoc,6.1033,292.0084
assoc,-15.5413,46.6611
assoc,9.0448,252.1906
assoc,7.2573,246.3383
assoc,9.4401,248.5284
