start,theta,phi,lat_stroke,lon_stroke,dist_km,dt_ms,sep_nadir_deg
2024-06-27T14:23:08.791837006Z,102.278,197.941,-9.6805,-177.6411,145.6,-4.801,13.33
2024-06-30T10:39:41.827329993Z,100.258,263.584,17.3595,-88.7174,139.5,1.320,12.80
2024-07-12T06:00:25.955900996Z,125.972,200.630,21.5568,-97.5799,161.1,-1.162,14.79
2024-07-12T21:09:20.065649986Z,26.463,262.158,5.2837,162.1676,311.1,-2.251,26.62
2024-07-13T09:55:44.361445993Z,67.418,281.429,20.8395,-71.2083,324.3,-1.820,27.68
2024-07-20T05:19:31.509737014Z,76.020,295.295,26.8389,-79.5695,423.7,0.553,34.18
2024-07-20T08:45:36.493826985Z,71.733,290.690,12.9427,-83.1439,35.1,-1.133,3.31
2024-07-20T11:33:11.620254993Z,102.447,209.966,23.5249,125.7897,233.2,-2.194,20.72
2024-07-23T22:45:06.286870002Z,132.230,73.742,-3.2955,74.2004,625.8,-2.240,44.31
2024-07-24T06:39:32.343596994Z,50.486,162.839,10.6079,-81.1131,280.9,-2.240,24.57
2024-07-26T05:36:58.883361011Z,125.702,278.574,10.5986,-79.3832,372.3,-1.994,30.99
2024-08-02T02:41:35.628547996Z,165.842,103.345,17.2407,-94.5114,338.9,-2.113,28.54
2024-08-08T17:01:41.653057992Z,63.241,336.362,27.7044,-68.3823,78.3,-2.069,7.27
2024-08-09T17:17:00.246165990Z,17.345,283.709,27.9221,-86.5863,94.6,-1.653,8.78
2024-08-11T14:32:06.178012013Z,39.640,55.418,21.3558,-72.1232,449.5,-2.153,35.72
2024-08-11T19:38:51.873010993Z,45.289,247.257,26.6381,-90.9076,48.6,-1.612,4.53
2024-08-14T13:39:31.620433986Z,86.518,78.841,14.3330,-98.9228,780.7,-2.571,49.95
2024-08-15T17:36:57.621439009Z,21.292,284.141,22.4259,-66.7288,228.6,-1.405,20.40
2024-08-16T14:25:08.492702990Z,29.244,299.411,28.0954,-86.3063,38.6,-1.860,3.63
2024-08-22T01:15:42.522466003Z,116.754,274.710,10.4911,13.0653,237.1,-1.346,21.07
2024-08-22T12:58:56.901964992Z,13.393,344.282,30.6226,-76.8116,291.0,-1.256,25.33
2024-08-24T15:15:36.753755003Z,77.402,315.095,23.3011,-106.7127,550.3,-2.823,41.07
2024-08-26T12:29:15.240817993Z,79.247,36.857,27.9894,-94.8036,88.5,-2.068,8.26
2024-08-28T00:19:54.345310002Z,123.543,335.352,14.0691,128.3102,472.5,-0.278,37.10
2024-09-04T13:05:35.438160985Z,136.588,300.318,21.5031,120.2603,230.2,-2.304,20.42
2024-09-09T22:27:58.995070993Z,152.280,101.852,10.9028,-79.5241,33.9,-1.518,3.19
2024-09-10T09:47:18.102483004Z,120.567,130.024,10.8330,111.5501,597.9,-2.852,43.16
2024-09-16T13:32:00.545332998Z,169.863,9.100,21.6011,122.9799,642.6,-2.171,44.87
2024-09-17T00:48:42.678083002Z,111.224,345.533,24.7393,-70.7226,363.6,-2.247,30.31
2024-09-17T02:29:00.085141003Z,140.151,347.845,21.6256,-79.3488,170.7,-1.266,15.54
2024-09-19T22:22:44.012023001Z,131.099,8.047,24.6418,-58.2419,294.8,-1.597,25.57
2024-09-20T00:05:52.329530Z,151.695,249.283,23.5570,-54.5070,622.2,-3.073,44.14
2024-09-22T16:22:27.636195987Z,125.490,102.528,13.0299,-72.7640,243.1,-1.585,21.68
2024-09-23T18:15:53.269102990Z,103.227,139.549,15.9089,-108.5079,118.1,-1.938,10.98
2024-09-24T17:06:39.438398003Z,148.190,168.217,29.7667,-55.8263,242.7,-1.600,21.63
2024-09-24T20:32:08.520056992Z,151.292,195.381,28.2187,-56.8688,377.4,-1.793,31.39
2024-09-26T00:11:21.806050986Z,131.241,282.088,16.7972,-91.3070,215.0,-1.666,19.40
2024-09-26T16:02:23.390327990Z,29.686,191.944,27.6785,-51.7857,101.5,3.603,9.46
2024-09-26T16:03:31.420836985Z,45.154,156.949,29.8294,-49.1246,170.2,-0.574,15.58
2024-09-26T23:47:44.986043989Z,28.671,97.192,-1.0806,116.7299,111.6,-1.903,10.32
2024-09-27T00:31:30.934542Z,93.574,136.878,15.0336,-90.5384,703.7,-0.983,47.41
2024-09-27T21:24:03.788944005Z,175.678,165.330,23.2172,-83.4140,94.1,-1.211,8.81
2024-09-28T21:41:03.173889011Z,44.034,235.361,20.4639,-93.0116,240.9,-2.247,21.52
2024-09-28T22:41:18.358779996Z,111.871,349.835,-3.0981,110.4800,165.2,-1.562,15.01
2024-09-30T09:28:48.496706008Z,149.220,186.404,7.8006,123.0166,586.5,-2.708,42.77
2024-10-01T21:03:27.773905992Z,5.624,26.281,5.2544,-69.3798,142.3,-1.044,13.18
2024-10-01T21:53:15.470290988Z,132.930,274.297,-4.4577,97.4560,464.1,-1.758,36.29
2024-10-05T19:49:26.369778007Z,97.334,56.796,0.3003,121.2023,495.9,-1.925,38.08
2024-10-14T11:28:10.461865007Z,143.032,179.893,23.7858,-60.5220,747.2,-2.492,48.63
2024-10-14T15:50:36.052275985Z,67.236,110.856,9.2203,123.3467,371.5,-2.219,30.95
2024-10-16T19:28:40.816617995Z,85.199,300.160,-2.8234,24.2649,530.0,-2.065,40.08
2024-10-17T16:40:55.329416990Z,83.830,325.605,14.0161,97.4627,89.5,-1.858,8.38
2024-10-18T20:07:39.748802006Z,114.327,5.744,4.7409,28.0497,371.4,-1.996,31.05
2024-10-20T17:57:03.870876997Z,153.602,352.307,23.5570,163.1689,360.3,-1.705,30.08
2024-10-21T01:32:01.254462003Z,74.662,89.706,8.1945,-72.7026,420.7,-1.581,34.18
2024-10-21T08:38:57.108469992Z,162.110,32.353,10.1158,-28.4540,214.9,-2.194,19.24
2024-10-21T14:33:00.629415005Z,28.256,110.001,15.8708,109.1043,247.6,-1.668,22.09
2024-10-26T01:24:25.838198006Z,46.054,40.924,19.6136,-72.3717,274.7,-1.592,24.19
2024-10-26T23:59:22.250445991Z,139.700,60.852,19.7346,-70.7759,431.2,-1.048,34.79
2024-10-27T20:09:00.498403996Z,79.445,229.896,-9.2613,143.3917,301.6,-1.288,25.92
2024-10-30T05:20:33.560077995Z,134.665,186.925,-12.6248,123.8226,304.5,-1.370,26.07
2024-11-03T06:38:07.638466Z,175.270,105.453,8.0784,120.2371,211.6,-1.321,19.02
