start,hour,seam_lo,seam_hi,r-6,r-5,r-4,r-3,r-2,r-1,r0,r1,r2,r3,r4,r5,r6
2024-06-27T14:23:08.791837006Z,2024-06-27T14,106,104,1.024,0.960,0.929,0.937,1.016,0.829,0.934,1.080,1.094,1.131,1.159,1.177,1.129
2024-06-30T10:39:41.827329993Z,2024-06-30T10,107,105,0.960,0.950,0.965,1.055,0.852,0.945,1.134,1.145,1.189,1.214,1.234,1.152,1.152
2024-07-12T06:00:25.955900996Z,2024-07-12T06,107,104,0.947,0.947,0.994,1.123,0.912,0.970,1.206,1.266,1.286,1.318,1.320,1.223,1.181
2024-07-12T21:09:20.065649986Z,2024-07-12T21,107,104,1.018,1.019,1.016,1.057,0.780,0.795,0.950,0.961,0.995,1.009,1.045,1.012,1.026
2024-07-13T09:55:44.361445993Z,2024-07-13T09,107,104,0.935,0.957,1.021,1.136,0.919,1.000,1.235,1.290,1.317,1.342,1.321,1.221,1.180
2024-07-20T05:19:31.509737014Z,2024-07-20T05,110,107,1.006,1.000,1.045,1.141,0.864,1.055,1.089,1.242,1.267,1.307,1.270,1.309,1.164
2024-07-20T08:45:36.493826985Z,2024-07-20T08,110,108,0.997,1.000,1.052,1.151,0.889,1.085,1.124,1.268,1.288,1.337,1.292,1.344,1.169
2024-07-20T11:33:11.620254993Z,2024-07-20T11,110,107,1.125,1.083,1.080,1.064,0.734,0.828,0.814,0.899,0.920,0.946,0.948,1.032,0.980
2024-07-23T22:45:06.286870002Z,2024-07-23T22,110,107,1.008,1.017,1.078,1.166,0.880,1.076,1.103,1.267,1.285,1.305,1.275,1.302,1.150
2024-07-24T06:39:32.343596994Z,2024-07-24T06,110,108,0.999,1.023,1.103,1.197,0.903,1.139,1.144,1.298,1.340,1.341,1.320,1.325,1.164
2024-07-26T05:36:58.883361011Z,2024-07-26T05,110,108,1.005,1.012,1.088,1.183,0.892,1.123,1.123,1.298,1.310,1.334,1.288,1.321,1.154
2024-08-02T02:41:35.628547996Z,2024-08-02T02,110,108,1.012,1.045,1.100,1.198,0.972,1.102,1.099,1.272,1.285,1.383,1.321,1.289,1.132
2024-08-08T17:01:41.653057992Z,2024-08-08T17,110,108,1.023,1.040,1.117,1.190,0.973,1.053,1.057,1.252,1.279,1.362,1.290,1.260,1.131
2024-08-09T17:17:00.246165990Z,2024-08-09T17,110,108,1.011,1.049,1.119,1.226,0.974,1.074,1.068,1.279,1.321,1.370,1.309,1.275,1.134
2024-08-11T14:32:06.178012013Z,2024-08-11T14,110,108,1.021,1.055,1.124,1.214,0.958,1.046,1.054,1.265,1.294,1.346,1.281,1.249,1.112
2024-08-11T19:38:51.873010993Z,2024-08-11T19,110,108,1.019,1.062,1.143,1.246,0.995,1.089,1.104,1.300,1.342,1.382,1.300,1.273,1.141
2024-08-14T13:39:31.620433986Z,2024-08-14T13,110,108,1.021,1.062,1.117,1.199,0.968,1.045,1.048,1.243,1.297,1.337,1.292,1.250,1.119
