start,theta,phi,dist_km,zenith_src_deg,airmass,dead_frac_max,n_core,sigma_us,fluence_erg_cm2,fluence_ph_cm2
2024-06-27T14:23:08.791837006Z,102.28,197.94,145.6,14.64,1.034,0.098,13,76.9,1.949e-07,0.1079
2024-06-30T10:39:41.827329993Z,100.26,263.58,139.5,14.05,1.031,0.486,24,35.9,4.407e-07,0.2441
2024-07-12T06:00:25.955900996Z,125.97,200.63,161.1,16.24,1.042,0.297,17,47.3,3.620e-07,0.2005
2024-07-12T21:09:20.065649986Z,26.46,262.16,311.1,29.41,1.148,0.481,13,16.6,1.204e-07,0.0667
2024-07-13T09:55:44.361445993Z,67.42,281.43,324.3,30.59,1.162,0.839,10,13.4,2.711e-07,0.1501
2024-07-20T05:19:31.509737014Z,76.02,295.30,423.7,37.99,1.269,0.238,13,30.7,1.407e-07,0.0779
2024-07-20T08:45:36.493826985Z,71.73,290.69,35.1,3.63,1.002,0.216,20,60.8,2.117e-07,0.1173
2024-07-20T11:33:11.620254993Z,102.45,209.97,233.2,22.81,1.085,0.398,9,17.9,1.765e-07,0.0978
2024-07-23T22:45:06.286870002Z,132.23,73.74,625.8,49.93,1.554,0.401,21,31.2,4.032e-07,0.2233
2024-07-24T06:39:32.343596994Z,50.49,162.84,280.9,27.09,1.123,0.377,17,41.0,1.506e-07,0.0834
2024-07-26T05:36:58.883361011Z,125.70,278.57,372.3,34.33,1.211,0.569,19,34.4,5.566e-07,0.3082
2024-08-02T02:41:35.628547996Z,165.84,103.34,338.9,31.58,1.174,0.666,11,17.5,4.018e-07,0.2225
2024-08-08T17:01:41.653057992Z,63.24,336.36,78.3,7.97,1.010,1.073,5,10.1,1.379e-07,0.0764
2024-08-09T17:17:00.246165990Z,17.34,283.71,94.6,9.63,1.014,0.228,20,86.0,1.294e-07,0.0717
2024-08-11T14:32:06.178012013Z,39.64,55.42,449.5,39.76,1.301,0.191,16,43.5,1.159e-07,0.0642
2024-08-11T19:38:51.873010993Z,45.29,247.26,48.6,4.97,1.004,0.591,7,14.3,9.689e-08,0.0537
2024-08-14T13:39:31.620433986Z,86.52,78.84,780.7,56.96,1.834,0.201,24,62.3,2.839e-07,0.1572
2024-08-15T17:36:57.621439009Z,21.29,284.14,228.6,22.45,1.082,0.516,8,13.6,6.656e-08,0.0369
2024-08-16T14:25:08.492702990Z,29.24,299.41,38.6,3.98,1.002,0.248,12,21.0,9.054e-08,0.0501
2024-08-22T01:15:42.522466003Z,116.75,274.71,237.1,23.20,1.088,0.414,19,29.8,4.938e-07,0.2735
2024-08-22T12:58:56.901964992Z,13.39,344.28,291.0,27.94,1.132,0.231,21,87.6,1.380e-07,0.0764
2024-08-24T15:15:36.753755003Z,77.40,315.10,550.3,46.01,1.440,0.213,15,45.9,1.594e-07,0.0883
2024-08-26T12:29:15.240817993Z,79.25,36.86,88.5,9.06,1.013,0.242,12,35.9,1.396e-07,0.0773
2024-08-28T00:19:54.345310002Z,123.54,335.35,472.5,41.34,1.332,0.138,17,60.6,2.193e-07,0.1214
2024-09-04T13:05:35.438160985Z,136.59,300.32,230.2,22.49,1.082,0.736,9,16.8,2.015e-07,0.1116
2024-09-09T22:27:58.995070993Z,152.28,101.85,33.9,3.49,1.002,0.199,30,80.2,6.199e-07,0.3433
2024-09-10T09:47:18.102483004Z,120.57,130.02,597.9,48.53,1.510,0.134,33,101.4,6.677e-07,0.3698
2024-09-16T13:32:00.545332998Z,169.86,9.10,642.6,50.64,1.577,0.140,18,81.9,2.907e-07,0.1610
2024-09-17T00:48:42.678083002Z,111.22,345.53,363.6,33.58,1.200,0.198,15,36.8,1.988e-07,0.1101
2024-09-17T02:29:00.085141003Z,140.15,347.85,170.7,17.07,1.046,0.206,14,45.5,1.934e-07,0.1071
2024-09-19T22:22:44.012023001Z,131.10,8.05,294.8,28.22,1.135,0.299,13,29.0,1.967e-07,0.1089
2024-09-20T00:05:52.329530Z,151.69,249.28,622.2,49.73,1.547,0.119,23,96.1,4.558e-07,0.2524
2024-09-22T16:22:27.636195987Z,125.49,102.53,243.1,23.86,1.093,0.265,16,28.0,4.476e-07,0.2479
2024-09-23T18:15:53.269102990Z,103.23,139.55,118.1,12.04,1.022,0.138,21,110.4,3.290e-07,0.1822
2024-09-24T17:06:39.438398003Z,148.19,168.22,242.7,23.81,1.093,0.261,11,52.2,2.596e-07,0.1437
2024-09-24T20:32:08.520056992Z,151.29,195.38,377.4,34.78,1.218,0.183,18,62.6,3.397e-07,0.1881
