channel,assoc_core,nonassoc_core,bkg,hour_all
0,9,63,21496,0
1,7,36,22121,0
2,20,63,33523,0
3,24,97,48871,0
4,18,147,73007,0
5,19,250,95851,0
6,7,296,116673,0
7,14,377,144696,0
8,12,439,180437,0
9,16,491,203387,589
10,9,605,237175,1081181
11,13,655,247180,7185644
12,14,680,243790,11883602
13,16,619,237207,11885725
14,10,634,233896,11082162
15,24,690,233486,11447078
16,17,628,236084,11721966
17,24,651,255038,12243026
18,34,568,246186,11804042
19,23,542,235613,9894802
20,18,471,196638,7740101
21,21,413,163127,6090525
22,21,445,141003,5203371
23,24,351,121542,4793111
24,24,375,112918,4559629
25,19,387,107772,4613170
26,23,386,109258,4734615
27,21,359,109137,5011026
28,39,371,111436,5062181
29,20,414,112998,5081078
30,28,430,117839,4754328
31,26,383,114530,4488733
32,27,442,116840,4142045
33,25,380,114631,3936733
34,26,381,106212,3653797
35,28,358,97690,3389967
36,28,401,89023,3177349
37,21,325,74006,2708942
38,22,291,60741,2392940
39,18,289,56841,2295655
40,15,277,53301,2194543
41,22,264,50357,2116064
42,28,284,49421,2015179
43,28,268,47374,1931971
44,30,263,45508,1849185
45,25,275,43993,1785532
46,19,274,42782,1735902
47,19,251,40266,1675157
48,13,259,39091,1620999
49,16,238,38223,1565870
50,16,235,37191,1518158
51,19,270,36660,1472005
52,22,227,35954,1455191
53,18,258,36185,1465398
54,21,223,35386,1466740
55,27,247,35344,1479993
56,13,214,35386,1475755
57,10,221,34935,1507982
58,16,219,33659,1638539
59,17,207,35073,1887126
60,20,200,37663,2150260
61,16,190,41969,2319132
62,12,196,45925,2376471
63,18,194,47002,2319758
64,17,182,45924,2177531
65,17,204,42255,1953506
66,18,206,39382,1739648
67,11,182,37045,1561650
68,15,168,35258,1456939
69,12,188,32984,1363494
70,12,180,31288,1258981
71,10,167,28490,1179825
72,14,176,27352,1124639
73,18,161,25866,1109487
74,11,134,25127,1106544
75,12,148,24618,1080063
76,9,147,24880,1040930
77,9,138,24545,991314
78,13,149,23941,927449
79,16,128,22213,853834
80,7,122,20311,776653
81,13,120,18434,703736
82,3,117,17462,643392
83,6,127,16423,597447
84,11,102,15682,558666
85,9,109,14673,526654
86,12,93,13737,501426
87,9,110,13197,489879
88,11,98,12575,477154
89,7,89,12214,469820
90,11,87,12167,462678
91,8,91,11986,458447
92,8,80,11785,454073
93,1,102,12034,462673
94,10,85,11605,485845
95,5,87,11415,534494
96,3,80,12095,600829
97,8,96,12777,650928
98,9,88,13620,672736
99,8,92,14467,669539
100,2,102,14716,645664
101,11,73,14223,617088
102,9,79,13866,585791
103,14,88,13182,551872
104,5,94,13675,552300
105,5,87,12405,455647
106,5,85,12401,455064
107,8,89,12337,491256
108,5,75,11824,421126
109,4,76,11302,448264
110,8,52,10464,440277
111,3,56,10119,455464
112,3,74,10049,435935
113,3,61,10393,429250
114,5,68,9614,397885
115,6,71,9577,397338
116,3,62,9081,364179
117,6,65,8566,341879
118,5,70,8012,333593
119,7,55,7735,312325
120,7,54,7473,308105
121,3,54,7260,300869
122,7,43,6947,296858
123,5,57,6740,286549
124,3,56,6701,287182
125,3,48,6488,285024
126,7,62,6385,281247
127,5,45,6269,284564
128,3,51,6311,278151
129,1,45,6155,279705
130,1,48,6056,276048
131,5,54,6002,275769
132,3,54,5994,271858
133,0,63,6114,273726
134,2,46,5336,266568
135,2,37,3610,265933
136,2,18,2789,259615
137,3,31,3833,261348
138,4,38,4797,258808
139,6,44,5142,258199
140,4,47,5612,256804
141,1,42,5656,257447
142,3,38,5619,258393
143,4,38,5359,252282
144,3,44,5579,254656
145,3,44,5311,250435
146,4,34,5404,245201
147,2,41,5183,243731
148,0,43,5232,234963
149,5,53,4976,234784
150,7,40,5007,224672
151,4,43,4893,224623
152,2,41,4769,214837
153,2,37,4653,214631
154,2,35,4509,207761
155,4,39,4421,205349
156,3,38,4311,198178
